t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
480,505,511,537,471,483,494,489,533,521,489,509,508,510,518,520,505,491,501,491
475,513,527,546,451,490,504,490,545,529,493,525,523,520,531,546,511,498,527,502
475,517,552,566,444,503,532,496,552,524,510,547,544,529,559,567,529,504,545,511
467,542,577,589,414,499,524,492,586,544,516,567,554,554,581,591,542,500,560,513
456,557,591,604,403,502,532,496,597,559,517,585,574,558,593,610,558,497,576,521
454,573,594,619,406,508,544,493,609,577,508,594,570,571,598,620,573,490,594,537
446,575,611,636,394,513,549,499,626,600,508,617,570,582,590,644,591,485,621,550
426,580,625,658,384,513,550,497,636,611,518,638,570,589,584,656,605,492,639,559
424,581,630,670,375,516,548,504,637,625,536,659,569,602,583,662,616,487,651,565
424,595,632,685,367,511,544,506,632,631,545,679,572,613,581,672,615,488,670,562
417,602,634,700,367,511,544,510,634,635,558,699,576,625,580,684,623,500,676,570
415,611,652,716,365,512,542,513,632,643,575,706,578,631,582,695,632,499,688,573
411,621,658,735,350,513,542,510,628,650,582,712,579,646,587,704,644,497,692,581
404,637,666,740,344,525,540,504,626,663,595,722,584,650,592,715,657,496,698,578
396,644,675,751,335,532,539,506,623,669,608,730,588,661,598,728,672,493,700,577
396,656,686,763,329,535,538,505,619,671,618,744,589,668,609,734,692,495,700,564
401,666,698,776,328,543,535,512,614,682,625,743,592,684,616,739,704,490,699,553
398,673,708,783,320,549,534,514,610,690,625,748,601,690,621,745,709,485,696,543
397,684,714,796,316,554,534,517,601,699,627,757,607,688,626,744,713,483,695,534
401,689,725,807,307,556,533,516,596,707,628,757,613,686,625,753,723,480,696,529
400,692,735,807,299,555,530,509,593,718,628,762,616,687,621,763,723,480,699,519
401,699,746,811,296,567,530,502,588,724,631,766,615,686,617,767,727,484,702,514
399,707,757,817,291,577,526,498,586,735,632,771,613,681,617,776,735,481,704,510
401,709,762,825,285,580,523,497,580,742,637,774,612,678,619,778,741,477,709,506
400,720,767,843,271,584,526,496,572,753,635,778,613,678,618,780,751,464,711,502
400,730,769,857,269,589,523,493,570,764,639,785,619,676,621,779,749,447,722,497
401,735,773,864,263,590,522,488,568,773,642,788,627,677,621,778,752,431,726,493
405,746,774,872,260,584,519,487,566,783,644,791,632,676,620,780,752,423,734,489
405,755,773,877,255,589,517,486,557,795,646,794,634,677,620,784,752,417,741,485
404,768,774,879,247,593,519,489,555,801,648,798,639,679,619,781,756,410,751,482
404,772,777,886,241,595,520,495,551,803,646,802,648,683,620,782,753,397,749,482
408,775,783,888,237,596,516,498,552,804,650,812,656,680,621,785,751,392,753,471
409,777,784,892,231,599,520,501,554,807,652,817,660,682,619,781,749,386,753,465
412,778,784,897,227,604,522,505,554,812,653,821,663,680,619,780,746,382,755,455
421,780,787,899,224,610,522,506,546,815,657,829,669,683,615,777,744,377,759,452
423,780,789,907,210,613,521,510,542,818,658,836,673,683,613,777,748,376,758,450
428,782,791,911,209,616,520,518,541,825,664,841,681,685,613,779,752,372,760,445
432,784,797,916,207,621,522,520,540,829,663,848,682,686,614,779,748,367,766,442
433,789,799,921,203,621,518,527,537,830,663,852,693,685,621,781,752,366,772,435
435,793,804,931,198,620,518,529,531,837,660,860,704,686,623,785,753,361,778,428
443,795,811,942,197,626,520,537,531,840,658,864,710,687,622,781,748,356,785,424
442,798,815,952,199,629,522,540,521,841,659,869,721,687,625,779,750,347,791,417
446,803,825,963,198,633,525,545,517,844,662,872,726,689,630,784,755,342,803,407
449,808,824,968,197,632,527,548,514,847,664,880,732,692,632,780,757,340,807,403
449,813,826,970,197,633,533,548,499,852,664,886,736,689,631,787,757,334,817,400
450,814,831,976,199,633,538,553,492,859,666,891,746,690,633,788,755,334,821,397
451,816,832,981,198,633,540,559,486,863,670,892,759,688,639,794,750,334,827,389
456,814,831,988,197,639,546,566,477,865,668,899,764,685,639,792,750,334,838,380
460,815,834,991,196,640,550,571,467,872,666,907,769,686,644,803,741,336,846,372
458,817,837,993,196,642,550,574,462,874,667,915,774,687,647,808,738,336,863,368
464,817,840,998,197,640,556,578,456,879,669,923,782,687,646,811,735,337,872,360
465,821,842,,198,641,560,585,455,881,668,925,791,688,647,815,731,337,880,352
469,826,845,,195,643,568,590,452,883,668,927,796,689,650,820,725,336,890,343
475,835,848,,195,643,575,591,443,886,668,933,804,691,650,824,718,337,897,336
479,837,852,,198,646,579,596,442,888,668,940,815,690,656,830,712,337,908,327
483,839,855,,198,645,587,607,443,891,670,943,824,690,663,832,710,339,916,320
483,844,856,,201,647,597,612,440,892,675,944,827,689,668,833,703,340,922,311
484,848,856,,201,645,605,616,438,894,677,945,834,690,676,836,698,342,926,305
487,852,860,,205,646,608,621,437,897,679,946,848,690,677,840,695,342,932,296
489,852,862,,208,645,615,626,438,899,679,947,852,689,683,844,686,342,940,292
488,857,866,,208,643,616,633,441,901,679,951,859,691,689,847,680,343,946,281
