t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
488,860,871,,211,648,620,640,443,904,684,952,867,687,690,852,671,343,957,274
486,861,876,,211,648,622,650,444,906,683,952,873,687,693,853,669,345,965,266
484,866,880,,212,649,626,655,441,906,684,954,882,684,692,852,663,348,974,263
479,871,886,,214,649,632,667,438,907,687,956,888,682,691,852,653,350,980,253
479,877,890,,216,647,636,672,437,910,689,961,889,681,694,851,654,354,990,238
481,879,902,,215,645,640,683,433,912,689,962,888,680,695,849,648,355,998,225
480,881,915,,218,642,640,699,434,919,691,964,889,680,696,849,643,355,,219
478,884,933,,217,644,642,716,431,920,692,970,888,678,696,850,631,357,,214
478,886,940,,217,641,647,727,425,925,695,976,888,679,698,849,623,361,,204
476,888,948,,218,640,653,739,424,931,699,978,888,680,699,848,618,363,,194
471,890,955,,218,639,659,754,423,936,701,985,888,681,701,848,611,364,,182
470,892,962,,217,638,660,759,423,940,704,993,888,680,703,848,606,366,,174
467,893,966,,217,637,665,768,420,943,704,997,889,679,704,848,603,366,,164
465,895,972,,218,633,666,775,419,943,704,,890,680,704,844,593,367,,152
463,895,974,,219,632,665,778,418,946,704,,891,678,710,844,592,369,,138
461,900,982,,217,633,663,788,416,949,705,,891,678,710,846,588,369,,127
460,904,988,,220,630,669,793,414,953,706,,892,677,717,846,582,374,,114
459,908,999,,219,631,669,806,410,956,706,,892,677,724,846,577,378,,105
457,910,,,221,631,671,815,411,958,705,,893,676,726,847,574,379,,91
454,913,,,221,628,673,820,411,960,706,,894,677,732,849,566,385,,77
453,915,,,219,628,682,835,410,962,708,,894,677,741,849,556,386,,63
453,919,,,219,626,685,840,410,970,710,,893,677,749,850,555,390,,47
449,920,,,219,625,686,853,411,974,712,,893,680,751,852,549,395,,31
447,922,,,220,622,689,866,407,976,713,,892,681,757,855,547,401,,20
445,925,,,220,619,699,876,404,977,715,,893,680,764,856,543,406,,16
443,929,,,218,618,702,888,403,982,717,,892,681,767,861,540,411,,13
439,933,,,218,617,706,901,401,993,718,,893,680,770,869,536,414,,5
435,937,,,219,613,709,918,401,999,719,,894,679,779,872,533,417,,2
431,940,,,217,609,714,926,401,,720,,893,681,786,882,529,424,,
424,947,,,216,607,721,933,400,,720,,893,682,792,887,527,429,,
421,950,,,216,603,730,942,399,,724,,895,681,799,891,520,436,,
417,950,,,215,601,735,947,400,,727,,895,681,804,897,519,438,,
413,951,,,214,597,743,951,402,,729,,896,687,812,901,514,442,,
406,953,,,212,595,753,962,401,,730,,895,698,817,907,509,447,,
402,960,,,213,593,765,968,400,,730,,896,700,825,910,507,451,,
398,969,,,211,589,777,977,400,,732,,897,706,830,914,501,457,,
392,972,,,210,584,784,996,398,,732,,897,710,837,916,499,465,,
388,975,,,209,582,796,,402,,735,,897,718,842,922,495,470,,
381,979,,,210,579,813,,401,,735,,902,726,849,925,486,474,,
378,981,,,209,576,834,,400,,738,,902,728,854,932,482,478,,
372,983,,,207,572,859,,401,,743,,902,730,861,936,481,485,,
359,986,,,207,565,875,,401,,746,,902,732,871,943,477,491,,
347,990,,,208,559,905,,400,,748,,903,733,874,949,469,496,,
339,996,,,207,559,926,,400,,752,,903,734,878,953,465,501,,
335,,,,206,552,940,,399,,755,,904,736,883,958,461,503,,
327,,,,206,542,954,,399,,757,,905,741,886,965,459,514,,
323,,,,205,536,963,,401,,759,,905,745,891,970,457,521,,
314,,,,204,530,974,,403,,764,,906,746,898,973,453,529,,
310,,,,203,525,975,,402,,769,,906,749,903,985,449,536,,
309,,,,199,523,975,,403,,770,,906,752,906,991,445,543,,
306,,,,198,517,979,,402,,772,,906,756,908,998,441,546,,
299,,,,197,514,982,,405,,776,,907,758,915,,439,555,,
294,,,,196,512,985,,404,,778,,909,761,922,,438,563,,
287,,,,195,508,994,,405,,783,,910,768,924,,437,569,,
277,,,,192,503,,,406,,785,,909,769,931,,434,571,,
264,,,,190,500,,,408,,790,,910,771,936,,432,576,,
250,,,,189,498,,,409,,794,,910,774,944,,430,582,,
242,,,,188,494,,,411,,801,,910,779,947,,427,592,,
237,,,,187,493,,,411,,804,,910,779,953,,427,598,,
236,,,,185,487,,,413,,807,,911,783,961,,424,604,,
231,,,,182,487,,,415,,810,,910,784,974,,424,612,,
221,,,,181,484,,,416,,815,,911,788,978,,421,624,,
221,,,,175,483,,,417,,819,,912,794,985,,420,627,,
214,,,,174,479,,,417,,826,,914,798,988,,420,634,,
200,,,,171,472,,,420,,831,,916,802,995,,420,643,,
193,,,,166,465,,,427,,835,,917,805,,,415,654,,
185,,,,163,456,,,430,,842,,919,807,,,415,658,,
178,,,,155,450,,,432,,845,,921,807,,,416,663,,
172,,,,150,443,,,436,,852,,921,809,,,416,670,,
165,,,,145,441,,,437,,860,,924,815,,,412,679,,
161,,,,143,437,,,439,,865,,926,823,,,413,681,,
154,,,,136,434,,,440,,869,,927,832,,,414,682,,
146,,,,134,428,,,440,,873,,927,835,,,409,683,,
136,,,,128,426,,,442,,880,,927,845,,,407,684,,
129,,,,128,421,,,441,,894,,928,849,,,407,685,,
119,,,,126,417,,,442,,907,,932,860,,,405,685,,
109,,,,124,408,,,444,,916,,932,868,,,405,691,,
104,,,,119,403,,,444,,919,,932,870,,,404,692,,
89,,,,116,396,,,445,,919,,934,873,,,404,691,,
84,,,,112,392,,,445,,921,,935,882,,,404,692,,
76,,,,110,385,,,445,,925,,935,892,,,402,693,,
67,,,,107,375,,,445,,927,,937,895,,,400,695,,
58,,,,105,369,,,445,,930,,937,901,,,398,696,,
46,,,,97,365,,,445,,935,,938,902,,,400,697,,
35,,,,96,363,,,444,,941,,938,903,,,397,699,,
23,,,,93,357,,,444,,942,,938,903,,,396,698,,
19,,,,90,348,,,443,,949,,939,906,,,394,701,,
10,,,,84,340,,,446,,954,,939,908,,,393,701,,
1,,,,81,335,,,444,,958,,940,910,,,391,702,,
,,,,80,332,,,446,,963,,941,911,,,392,705,,
,,,,80,328,,,444,,978,,942,915,,,388,706,,
,,,,77,322,,,445,,981,,942,917,,,389,707,,
,,,,73,319,,,446,,984,,943,920,,,387,708,,
,,,,70,313,,,446,,995,,943,920,,,386,708,,
,,,,67,309,,,447,,,,943,920,,,386,709,,
,,,,64,306,,,447,,,,944,922,,,384,709,,
,,,,61,305,,,447,,,,947,923,,,385,710,,
,,,,61,300,,,446,,,,948,925,,,383,711,,
,,,,60,295,,,442,,,,949,928,,,383,715,,
,,,,58,290,,,441,,,,950,931,,,383,716,,
,,,,55,288,,,440,,,,951,932,,,383,716,,
,,,,53,286,,,441,,,,951,936,,,383,716,,
,,,,51,278,,,441,,,,953,937,,,383,716,,
,,,,48,276,,,440,,,,953,938,,,381,718,,
,,,,45,273,,,440,,,,954,943,,,380,720,,
,,,,44,272,,,437,,,,955,945,,,382,723,,
,,,,42,270,,,436,,,,956,947,,,380,724,,
,,,,41,269,,,436,,,,957,949,,,376,727,,
,,,,37,265,,,437,,,,959,956,,,377,728,,
,,,,34,263,,,435,,,,959,960,,,377,728,,
,,,,31,260,,,437,,,,960,961,,,377,729,,
,,,,28,254,,,435,,,,963,964,,,376,730,,
,,,,20,249,,,435,,,,963,967,,,374,734,,
,,,,17,246,,,434,,,,964,969,,,373,734,,
,,,,11,241,,,433,,,,965,972,,,374,734,,
,,,,2,237,,,434,,,,965,979,,,374,737,,
,,,,,231,,,432,,,,969,980,,,371,738,,
,,,,,221,,,432,,,,973,983,,,370,738,,
,,,,,219,,,431,,,,976,990,,,370,739,,
,,,,,213,,,430,,,,980,994,,,371,739,,
,,,,,210,,,429,,,,983,996,,,366,741,,
,,,,,206,,,429,,,,991,,,,367,743,,
,,,,,202,,,430,,,,994,,,,364,746,,
,,,,,197,,,428,,,,,,,,361,747,,
,,,,,194,,,427,,,,,,,,360,750,,
,,,,,190,,,427,,,,,,,,361,750,,
,,,,,189,,,426,,,,,,,,362,751,,
,,,,,186,,,428,,,,,,,,359,753,,
,,,,,181,,,428,,,,,,,,355,754,,
,,,,,178,,,426,,,,,,,,354,755,,
,,,,,176,,,426,,,,,,,,353,754,,
,,,,,171,,,426,,,,,,,,353,756,,
,,,,,168,,,426,,,,,,,,353,755,,
,,,,,166,,,423,,,,,,,,352,758,,
,,,,,164,,,424,,,,,,,,352,757,,
,,,,,160,,,423,,,,,,,,351,759,,
,,,,,159,,,423,,,,,,,,350,760,,
,,,,,159,,,422,,,,,,,,350,761,,
,,,,,154,,,423,,,,,,,,350,762,,
,,,,,152,,,422,,,,,,,,349,764,,
,,,,,147,,,422,,,,,,,,348,767,,
,,,,,142,,,421,,,,,,,,349,767,,
,,,,,142,,,419,,,,,,,,347,768,,
,,,,,138,,,419,,,,,,,,346,768,,
,,,,,138,,,419,,,,,,,,344,768,,
,,,,,135,,,419,,,,,,,,345,770,,
,,,,,131,,,418,,,,,,,,344,771,,
,,,,,129,,,418,,,,,,,,343,774,,
,,,,,125,,,417,,,,,,,,342,774,,
,,,,,122,,,418,,,,,,,,340,774,,
,,,,,121,,,415,,,,,,,,340,775,,
,,,,,117,,,415,,,,,,,,339,775,,
,,,,,114,,,414,,,,,,,,340,776,,
,,,,,114,,,413,,,,,,,,340,777,,
,,,,,113,,,413,,,,,,,,340,777,,
,,,,,113,,,413,,,,,,,,340,776,,
,,,,,113,,,413,,,,,,,,339,779,,
,,,,,111,,,411,,,,,,,,338,781,,
,,,,,108,,,411,,,,,,,,337,783,,
,,,,,107,,,411,,,,,,,,336,785,,
,,,,,106,,,410,,,,,,,,336,785,,
,,,,,106,,,408,,,,,,,,333,785,,
,,,,,103,,,409,,,,,,,,329,785,,
,,,,,99,,,409,,,,,,,,330,785,,
,,,,,96,,,409,,,,,,,,329,785,,
,,,,,96,,,407,,,,,,,,329,786,,
,,,,,90,,,408,,,,,,,,328,786,,
,,,,,89,,,408,,,,,,,,326,789,,
,,,,,89,,,407,,,,,,,,325,788,,
,,,,,89,,,406,,,,,,,,325,791,,
,,,,,89,,,406,,,,,,,,324,792,,
,,,,,87,,,406,,,,,,,,323,793,,
,,,,,86,,,406,,,,,,,,324,794,,
,,,,,86,,,404,,,,,,,,324,794,,
,,,,,82,,,405,,,,,,,,323,794,,
,,,,,81,,,402,,,,,,,,322,799,,
,,,,,79,,,402,,,,,,,,323,800,,
,,,,,75,,,402,,,,,,,,322,800,,
,,,,,74,,,402,,,,,,,,323,800,,
,,,,,69,,,399,,,,,,,,321,801,,
,,,,,66,,,399,,,,,,,,321,801,,
,,,,,64,,,399,,,,,,,,320,801,,
,,,,,63,,,399,,,,,,,,319,802,,
,,,,,57,,,399,,,,,,,,318,802,,
,,,,,52,,,397,,,,,,,,318,806,,
,,,,,48,,,398,,,,,,,,318,805,,
,,,,,45,,,398,,,,,,,,317,807,,
,,,,,38,,,397,,,,,,,,316,808,,
,,,,,32,,,396,,,,,,,,317,810,,
,,,,,30,,,392,,,,,,,,315,810,,
,,,,,26,,,388,,,,,,,,314,814,,
,,,,,23,,,390,,,,,,,,311,814,,
,,,,,17,,,389,,,,,,,,314,814,,
,,,,,7,,,389,,,,,,,,313,818,,
,,,,,1,,,388,,,,,,,,312,819,,
,,,,,,,,386,,,,,,,,310,819,,
,,,,,,,,386,,,,,,,,308,819,,
,,,,,,,,385,,,,,,,,309,819,,
,,,,,,,,384,,,,,,,,308,820,,
,,,,,,,,383,,,,,,,,309,821,,
,,,,,,,,382,,,,,,,,307,822,,
,,,,,,,,381,,,,,,,,306,822,,
,,,,,,,,380,,,,,,,,305,822,,
,,,,,,,,379,,,,,,,,304,824,,
,,,,,,,,379,,,,,,,,301,826,,
,,,,,,,,379,,,,,,,,303,827,,
,,,,,,,,379,,,,,,,,302,827,,
,,,,,,,,375,,,,,,,,301,827,,
,,,,,,,,373,,,,,,,,299,828,,
,,,,,,,,373,,,,,,,,300,831,,
,,,,,,,,373,,,,,,,,300,831,,
,,,,,,,,373,,,,,,,,298,832,,
,,,,,,,,373,,,,,,,,298,832,,
,,,,,,,,372,,,,,,,,297,832,,
,,,,,,,,370,,,,,,,,299,834,,
,,,,,,,,367,,,,,,,,297,834,,
,,,,,,,,366,,,,,,,,297,835,,
,,,,,,,,366,,,,,,,,296,836,,
,,,,,,,,366,,,,,,,,297,837,,
,,,,,,,,366,,,,,,,,296,839,,
,,,,,,,,363,,,,,,,,295,839,,
,,,,,,,,360,,,,,,,,293,840,,
,,,,,,,,360,,,,,,,,293,840,,
,,,,,,,,360,,,,,,,,290,842,,
,,,,,,,,360,,,,,,,,290,842,,
,,,,,,,,360,,,,,,,,289,843,,
,,,,,,,,360,,,,,,,,289,843,,
,,,,,,,,359,,,,,,,,289,843,,
,,,,,,,,360,,,,,,,,289,844,,
,,,,,,,,359,,,,,,,,289,846,,
,,,,,,,,358,,,,,,,,288,847,,
,,,,,,,,357,,,,,,,,288,851,,
,,,,,,,,356,,,,,,,,288,850,,
,,,,,,,,355,,,,,,,,289,851,,
,,,,,,,,355,,,,,,,,288,852,,
,,,,,,,,354,,,,,,,,288,853,,
,,,,,,,,353,,,,,,,,288,854,,
,,,,,,,,354,,,,,,,,288,855,,
,,,,,,,,351,,,,,,,,288,855,,
,,,,,,,,352,,,,,,,,287,857,,
,,,,,,,,351,,,,,,,,287,859,,
,,,,,,,,350,,,,,,,,287,860,,
,,,,,,,,349,,,,,,,,286,859,,
,,,,,,,,348,,,,,,,,286,863,,
,,,,,,,,348,,,,,,,,285,863,,
,,,,,,,,347,,,,,,,,285,865,,
,,,,,,,,347,,,,,,,,284,865,,
,,,,,,,,347,,,,,,,,283,866,,
,,,,,,,,347,,,,,,,,283,868,,
,,,,,,,,347,,,,,,,,284,870,,
,,,,,,,,344,,,,,,,,283,873,,
,,,,,,,,345,,,,,,,,283,873,,
,,,,,,,,344,,,,,,,,280,873,,
,,,,,,,,344,,,,,,,,276,875,,
,,,,,,,,343,,,,,,,,275,875,,
,,,,,,,,343,,,,,,,,273,876,,
,,,,,,,,341,,,,,,,,275,876,,
,,,,,,,,341,,,,,,,,274,877,,
,,,,,,,,340,,,,,,,,274,879,,
,,,,,,,,336,,,,,,,,274,881,,
,,,,,,,,338,,,,,,,,273,881,,
,,,,,,,,335,,,,,,,,271,882,,
,,,,,,,,334,,,,,,,,271,881,,
,,,,,,,,331,,,,,,,,271,882,,
,,,,,,,,330,,,,,,,,270,883,,
,,,,,,,,330,,,,,,,,271,884,,
,,,,,,,,329,,,,,,,,270,885,,
,,,,,,,,329,,,,,,,,268,887,,
,,,,,,,,328,,,,,,,,267,888,,
,,,,,,,,328,,,,,,,,266,888,,
,,,,,,,,328,,,,,,,,263,888,,
,,,,,,,,328,,,,,,,,263,888,,
,,,,,,,,329,,,,,,,,263,889,,
,,,,,,,,326,,,,,,,,263,891,,
,,,,,,,,326,,,,,,,,262,892,,
,,,,,,,,324,,,,,,,,262,894,,
,,,,,,,,321,,,,,,,,263,894,,
,,,,,,,,321,,,,,,,,262,897,,
,,,,,,,,320,,,,,,,,261,897,,
,,,,,,,,319,,,,,,,,260,898,,
,,,,,,,,317,,,,,,,,260,901,,
,,,,,,,,315,,,,,,,,260,902,,
,,,,,,,,315,,,,,,,,259,904,,
,,,,,,,,315,,,,,,,,259,904,,
,,,,,,,,314,,,,,,,,258,904,,
,,,,,,,,313,,,,,,,,255,904,,
,,,,,,,,313,,,,,,,,256,906,,
,,,,,,,,312,,,,,,,,255,907,,
,,,,,,,,312,,,,,,,,252,908,,
,,,,,,,,312,,,,,,,,249,908,,
,,,,,,,,310,,,,,,,,249,910,,
,,,,,,,,309,,,,,,,,251,913,,
,,,,,,,,305,,,,,,,,249,913,,
,,,,,,,,305,,,,,,,,249,913,,
,,,,,,,,305,,,,,,,,246,913,,
,,,,,,,,305,,,,,,,,245,915,,
,,,,,,,,305,,,,,,,,245,916,,
,,,,,,,,304,,,,,,,,244,918,,
,,,,,,,,304,,,,,,,,244,918,,
,,,,,,,,302,,,,,,,,243,919,,
,,,,,,,,301,,,,,,,,243,920,,
,,,,,,,,303,,,,,,,,243,921,,
,,,,,,,,302,,,,,,,,242,921,,
,,,,,,,,300,,,,,,,,242,923,,
,,,,,,,,299,,,,,,,,243,924,,
,,,,,,,,300,,,,,,,,241,927,,
,,,,,,,,299,,,,,,,,242,930,,
,,,,,,,,297,,,,,,,,239,932,,
,,,,,,,,297,,,,,,,,239,935,,
,,,,,,,,296,,,,,,,,239,938,,
,,,,,,,,294,,,,,,,,238,940,,
,,,,,,,,293,,,,,,,,235,944,,
,,,,,,,,292,,,,,,,,233,948,,
,,,,,,,,290,,,,,,,,234,952,,
,,,,,,,,291,,,,,,,,232,953,,
,,,,,,,,290,,,,,,,,231,954,,
,,,,,,,,288,,,,,,,,232,956,,
,,,,,,,,287,,,,,,,,231,957,,
,,,,,,,,285,,,,,,,,230,959,,
,,,,,,,,285,,,,,,,,227,962,,
,,,,,,,,284,,,,,,,,226,968,,
,,,,,,,,284,,,,,,,,226,971,,
,,,,,,,,283,,,,,,,,226,975,,
,,,,,,,,283,,,,,,,,225,977,,
,,,,,,,,281,,,,,,,,225,980,,
,,,,,,,,280,,,,,,,,225,988,,
,,,,,,,,278,,,,,,,,222,996,,
,,,,,,,,275,,,,,,,,221,,,
,,,,,,,,276,,,,,,,,220,,,
,,,,,,,,275,,,,,,,,218,,,
,,,,,,,,273,,,,,,,,217,,,
,,,,,,,,270,,,,,,,,214,,,
,,,,,,,,269,,,,,,,,214,,,
,,,,,,,,267,,,,,,,,213,,,
,,,,,,,,265,,,,,,,,213,,,
,,,,,,,,265,,,,,,,,212,,,
,,,,,,,,265,,,,,,,,212,,,
,,,,,,,,263,,,,,,,,212,,,
,,,,,,,,261,,,,,,,,211,,,
,,,,,,,,259,,,,,,,,211,,,
,,,,,,,,257,,,,,,,,210,,,
,,,,,,,,255,,,,,,,,208,,,
,,,,,,,,253,,,,,,,,208,,,
,,,,,,,,249,,,,,,,,206,,,
,,,,,,,,246,,,,,,,,205,,,
,,,,,,,,245,,,,,,,,204,,,
,,,,,,,,245,,,,,,,,203,,,
,,,,,,,,243,,,,,,,,202,,,
,,,,,,,,240,,,,,,,,201,,,
,,,,,,,,240,,,,,,,,201,,,
,,,,,,,,239,,,,,,,,201,,,
,,,,,,,,238,,,,,,,,196,,,
,,,,,,,,237,,,,,,,,197,,,
,,,,,,,,235,,,,,,,,194,,,
,,,,,,,,234,,,,,,,,192,,,
,,,,,,,,233,,,,,,,,192,,,
,,,,,,,,232,,,,,,,,193,,,
,,,,,,,,231,,,,,,,,191,,,
,,,,,,,,230,,,,,,,,191,,,
,,,,,,,,228,,,,,,,,191,,,
,,,,,,,,227,,,,,,,,191,,,
,,,,,,,,226,,,,,,,,190,,,
,,,,,,,,222,,,,,,,,188,,,
,,,,,,,,222,,,,,,,,187,,,
,,,,,,,,219,,,,,,,,185,,,
,,,,,,,,215,,,,,,,,183,,,
,,,,,,,,217,,,,,,,,182,,,
,,,,,,,,215,,,,,,,,179,,,
,,,,,,,,215,,,,,,,,176,,,
,,,,,,,,211,,,,,,,,175,,,
,,,,,,,,210,,,,,,,,174,,,
,,,,,,,,207,,,,,,,,174,,,
,,,,,,,,204,,,,,,,,171,,,
,,,,,,,,201,,,,,,,,169,,,
,,,,,,,,199,,,,,,,,166,,,
,,,,,,,,200,,,,,,,,166,,,
,,,,,,,,198,,,,,,,,164,,,
,,,,,,,,197,,,,,,,,163,,,
,,,,,,,,196,,,,,,,,161,,,
,,,,,,,,195,,,,,,,,159,,,
,,,,,,,,194,,,,,,,,158,,,
,,,,,,,,194,,,,,,,,158,,,
,,,,,,,,192,,,,,,,,156,,,
,,,,,,,,192,,,,,,,,157,,,
,,,,,,,,190,,,,,,,,154,,,
,,,,,,,,190,,,,,,,,152,,,
,,,,,,,,188,,,,,,,,151,,,
,,,,,,,,186,,,,,,,,149,,,
,,,,,,,,186,,,,,,,,146,,,
,,,,,,,,185,,,,,,,,143,,,
,,,,,,,,185,,,,,,,,143,,,
,,,,,,,,182,,,,,,,,143,,,
,,,,,,,,181,,,,,,,,143,,,
,,,,,,,,178,,,,,,,,141,,,
,,,,,,,,177,,,,,,,,138,,,
,,,,,,,,174,,,,,,,,137,,,
,,,,,,,,175,,,,,,,,134,,,
,,,,,,,,173,,,,,,,,132,,,
,,,,,,,,172,,,,,,,,127,,,
,,,,,,,,172,,,,,,,,126,,,
,,,,,,,,171,,,,,,,,122,,,
,,,,,,,,169,,,,,,,,118,,,
,,,,,,,,167,,,,,,,,117,,,
,,,,,,,,166,,,,,,,,113,,,
,,,,,,,,161,,,,,,,,108,,,
,,,,,,,,156,,,,,,,,106,,,
,,,,,,,,156,,,,,,,,103,,,
,,,,,,,,155,,,,,,,,102,,,
,,,,,,,,154,,,,,,,,100,,,
,,,,,,,,151,,,,,,,,96,,,
,,,,,,,,153,,,,,,,,94,,,
,,,,,,,,152,,,,,,,,93,,,
,,,,,,,,149,,,,,,,,90,,,
,,,,,,,,149,,,,,,,,88,,,
,,,,,,,,149,,,,,,,,87,,,
,,,,,,,,148,,,,,,,,83,,,
,,,,,,,,147,,,,,,,,79,,,
,,,,,,,,147,,,,,,,,79,,,
,,,,,,,,147,,,,,,,,75,,,
,,,,,,,,147,,,,,,,,71,,,
,,,,,,,,146,,,,,,,,67,,,
,,,,,,,,147,,,,,,,,58,,,
,,,,,,,,144,,,,,,,,47,,,
,,,,,,,,142,,,,,,,,39,,,
,,,,,,,,143,,,,,,,,29,,,
,,,,,,,,141,,,,,,,,20,,,
,,,,,,,,141,,,,,,,,12,,,
,,,,,,,,141,,,,,,,,4,,,
,,,,,,,,140,,,,,,,,,,,
,,,,,,,,140,,,,,,,,,,,
,,,,,,,,138,,,,,,,,,,,
,,,,,,,,138,,,,,,,,,,,
,,,,,,,,136,,,,,,,,,,,
,,,,,,,,136,,,,,,,,,,,
,,,,,,,,136,,,,,,,,,,,
,,,,,,,,136,,,,,,,,,,,
,,,,,,,,135,,,,,,,,,,,
,,,,,,,,134,,,,,,,,,,,
,,,,,,,,134,,,,,,,,,,,
,,,,,,,,133,,,,,,,,,,,
,,,,,,,,134,,,,,,,,,,,
,,,,,,,,134,,,,,,,,,,,
,,,,,,,,134,,,,,,,,,,,
,,,,,,,,133,,,,,,,,,,,
,,,,,,,,133,,,,,,,,,,,
,,,,,,,,132,,,,,,,,,,,
,,,,,,,,131,,,,,,,,,,,
,,,,,,,,132,,,,,,,,,,,
,,,,,,,,131,,,,,,,,,,,
,,,,,,,,131,,,,,,,,,,,
,,,,,,,,130,,,,,,,,,,,
,,,,,,,,129,,,,,,,,,,,
,,,,,,,,129,,,,,,,,,,,
,,,,,,,,128,,,,,,,,,,,
,,,,,,,,128,,,,,,,,,,,
,,,,,,,,127,,,,,,,,,,,
,,,,,,,,126,,,,,,,,,,,
